source,category,link
Times of India,Economy,http://timesofindia.indiatimes.com/rssfeeds/1898055.cms
Times of India,Sports,http://timesofindia.indiatimes.com/rssfeeds/671208.cms
Times of India,Health,http://timesofindia.indiatimes.com/rssfeeds/3908999.cms
Times of India,India,http://timesofindia.indiatimes.com/rssfeeds/-2128936835.cms
Times of India,Technology,https://timesofindia.indiatimes.com/rssfeeds/66949542.cms
Times of India,Cricket,https://timesofindia.indiatimes.com/rssfeeds/54829575.cms
NDTV,India,https://feeds.feedburner.com/ndtvnews-india-news
NDTV,Business,https://feeds.feedburner.com/ndtvprofit-latest
NDTV,Technology,https://feeds.feedburner.com/gadgets360-latest
NDTV Gadgets360,Technology,https://cdn.gadgets360.com/gadgets360_logo.png
News18,India,https://www.news18.com/rss/india.xml
News18,Business,https://www.news18.com/rss/business.xml 
ESPN,Cricket,https://www.espncricinfo.com/rss/content/story/feeds/6.xml
The Cricket Times,Cricket,https://www.crickettimes.com/feed
The Indian Express,Cricket,https://indianexpress.com/section/sports/cricket/feed/
News18,Football,https://www.news18.com/rss/football.xml
News18,Technology,https://www.news18.com/rss/tech.xml
The Hindu,Economy,http://www.thehindu.com/business/Economy/?service=rss
Economic Times,Economy,https://economictimes.indiatimes.com/rssfeeds/1286551815.cms
First Post,Economy,http://www.firstpost.com/economy/feed
Economic Times,Agriculture,https://economictimes.indiatimes.com/rssfeeds/1202099874.cms
The Hindu,Agriculture,http://www.thehindu.com/sci-tech/agriculture/?service=rss
The Hindi,Sports,http://www.thehindu.com/sport/other-sports/?service=rss
NDTV,Sports,https://feeds.feedburner.com/ndtvsports-latest
News18,Sports,https://www.news18.com/rss/sports.xml
Economic Times,Entertainment,https://economictimes.indiatimes.com/rssfeeds/13357410.cms
Times of India,Entertainment,https://timesofindia.indiatimes.com/rssfeeds/1081479906.cms
The Hindu,Entertainment,https://www.thehindu.com/entertainment/feeder/default.rss
The Hindu,International,http://www.thehindu.com/news/international/?service=rss
The Indian Express,International,https://indianexpress.com/section/world/feed/
Hindustan Times,International,http://www.hindustantimes.com/rss/world/rssfeed.xml
Times of India,International,https://timesofindia.indiatimes.com/rssfeeds/296589292.cms
The Indian Express,Science,https://indianexpress.com/section/technology/feed/
Times of India,Science,https://timesofindia.indiatimes.com/rssfeeds/-2128672765.cms
The Hindu,Science,http://www.thehindu.com/sci-tech/science/?service=rss
